地区	正式指标	正式数值
学校1	在校学生数	9200
学校1	教学及辅助用房面积	21500
学校1	体育运动场馆面积	8000
学校1	教学仪器设备值	85000
学校1	计算机台数	750
学校1	图书册数	43000
学校1	专任教师数	960
学校1	高于规定学历教师数	560
学校1	中级及以上专业技术职务教师数	420
学校2	在校学生数	9800
学校2	教学及辅助用房面积	23000
学校2	体育运动场馆面积	8500
学校2	教学仪器设备值	90000
学校2	计算机台数	800
学校2	图书册数	44000
学校2	专任教师数	990
学校2	高于规定学历教师数	600
学校2	中级及以上专业技术职务教师数	450
学校3	在校学生数	9801
学校3	教学及辅助用房面积	23001
学校3	体育运动场馆面积	8501
学校3	教学仪器设备值	90001
学校3	计算机台数	801
学校3	图书册数	44001
学校3	专任教师数	991
学校3	高于规定学历教师数	601
学校3	中级及以上专业技术职务教师数	451
学校4	在校学生数	10400
学校4	教学及辅助用房面积	24500
学校4	体育运动场馆面积	9000
学校4	教学仪器设备值	95000
学校4	计算机台数	850
学校4	图书册数	45000
学校4	专任教师数	1020
学校4	高于规定学历教师数	640
学校4	中级及以上专业技术职务教师数	480
学校5	在校学生数	11600
学校5	教学及辅助用房面积	27500
学校5	体育运动场馆面积	10000
学校5	教学仪器设备值	105000
学校5	计算机台数	950
学校5	图书册数	47000
学校5	专任教师数	1080
学校5	高于规定学历教师数	720
学校5	中级及以上专业技术职务教师数	540
学校6	在校学生数	11000
学校6	教学及辅助用房面积	26000
学校6	体育运动场馆面积	9500
学校6	教学仪器设备值	100000
学校6	计算机台数	900
学校6	图书册数	46000
学校6	专任教师数	1050
学校6	高于规定学历教师数	680
学校6	中级及以上专业技术职务教师数	510
学校7	在校学生数	12800
学校7	教学及辅助用房面积	30500
学校7	体育运动场馆面积	11000
学校7	教学仪器设备值	115000
学校7	计算机台数	1050
学校7	图书册数	49000
学校7	专任教师数	1140
学校7	高于规定学历教师数	800
学校7	中级及以上专业技术职务教师数	600
学校8	在校学生数	13400
学校8	教学及辅助用房面积	32000
学校8	体育运动场馆面积	11500
学校8	教学仪器设备值	120000
学校8	计算机台数	1100
学校8	图书册数	50000
学校8	专任教师数	1170
学校8	高于规定学历教师数	840
学校8	中级及以上专业技术职务教师数	630
学校9	在校学生数	14000
学校9	教学及辅助用房面积	33500
学校9	体育运动场馆面积	12000
学校9	教学仪器设备值	125000
学校9	计算机台数	1150
学校9	图书册数	51000
学校9	专任教师数	1200
学校9	高于规定学历教师数	880
学校9	中级及以上专业技术职务教师数	660
学校10	在校学生数	14600
学校10	教学及辅助用房面积	35000
学校10	体育运动场馆面积	12500
学校10	教学仪器设备值	130000
学校10	计算机台数	1200
学校10	图书册数	52000
学校10	专任教师数	1230
学校10	高于规定学历教师数	920
学校10	中级及以上专业技术职务教师数	690
